time,acc_x
2.421,2.48075248962551e-08
2.422,2.347454852605952e-08
2.423,2.209983329352758e-08
2.424,2.068309956365838e-08
2.425,1.922344279912312e-08
2.426,1.772050585901234e-08
2.427,1.617350583377333e-08
2.428,1.458211009939073e-08
2.429,1.294529119149602e-08
2.43,1.126284669273889e-08
2.431,9.533974685188803e-09
2.432,7.758701558969436e-09
2.433,5.935630621353333e-09
2.434,4.064223792283714e-09
2.435,2.14451940845573e-09
2.436,1.751147540708856e-10
2.437,-1.843989363532212e-09
2.438,-3.913592925691428e-09
2.439,-6.034508760723383e-09
2.44,-8.20715584051923e-09
2.441,-1.04323789463468e-08
2.442,-1.271046520159935e-08
2.443,-1.504209056497848e-08
2.444,-1.742860567527736e-08
2.445,-1.986936434715439e-08
2.446,-2.236601686078341e-08
2.447,-2.49188280540161e-08
2.448,-2.752874971780861e-08
2.449,-3.019617996507434e-08
2.45,-3.292143127964679e-08
2.451,-3.570596731044879e-08
2.452,-3.854971803288828e-08
2.453,-4.145381641751729e-08
2.454,-4.441873906503195e-08
2.455,-4.74454965063437e-08
2.456,-5.053386236052031e-08
2.457,-5.368535694349519e-08
2.458,-5.686717832034183e-08
2.459,-5.769893720605071e-08
2.46,-5.850176700417099e-08
2.461,-5.927476787402563e-08
2.462,-6.001698096737805e-08
2.463,-6.072723417416838e-08
2.464,-6.140461575240747e-08
2.465,-6.204862365694217e-08
2.466,-6.265786738614965e-08
2.467,-6.323152924052605e-08
2.468,-6.376868081675525e-08
2.469,-6.426833768381561e-08
2.47,-6.472946171192705e-08
2.471,-6.515106307272407e-08
2.472,-6.55322984341324e-08
2.473,-6.587201805762653e-08
2.474,-6.616880466363145e-08
2.475,-6.64226904002876e-08
2.476,-6.663194001377394e-08
2.477,-6.67953311877049e-08
2.478,-6.691237165550938e-08
2.479,-6.698156750042954e-08
2.48,-6.700190186212126e-08
2.481,-6.697245025373717e-08
2.482,-6.689218128991406e-08
2.483,-6.676042418694934e-08
